model,domain,family,variant,endpoint,estimate,ci95,p_two_sided_plus_one,relative_ppl_change
llama8b,c4,ranking,strongest,group_only_vs_baseline,-0.004351468798709783,"[-0.005887422114006755, -0.002955828532893542]",9.999000099990002e-05,-0.004342014876144199
llama8b,c4,ranking,strongest,full_context_marginal,-0.0024607904816962493,"[-0.0037467136896444982, -0.0011799491612332778]",9.999000099990002e-05,-0.0024577652188203327
llama8b,c4,ranking,weakest,group_only_vs_baseline,-0.0013647780586682823,"[-0.003145779506162929, 0.00012612624637735296]",0.10388961103889612,-0.001363847172626012
llama8b,c4,ranking,weakest,full_context_marginal,-0.00032706105551097187,"[-0.001527521342984093, 0.0008309765509070878]",0.587041295870413,-0.0003270075768743746
llama8b,c4,ranking,random,group_only_vs_baseline,-0.0018565300498787835,"[-0.003112686055939643, -0.0006573181215773484]",0.0037996200379962005,-0.0018548077639557966
llama8b,c4,ranking,random,full_context_marginal,-0.0010920071686067207,"[-0.0024462080259340688, 0.0001861890184604332]",0.0994900509949005,-0.0010914111457520613
llama8b,c4,veto,kl_vetoed_ce_approved,actual_vs_full,-4.2411557927763645e-05,"[-0.0012264097448700046, 0.0010812474243172047]",0.9382061793820617,-4.2410658570355146e-05
llama8b,c4,veto,kl_vetoed_ce_approved,actual_vs_random,-0.0009791908993908892,"[-0.0024079716170592683, 0.00030184002838092955]",0.15158484151584842,-0.0009787116484209905
llama8b,c4,veto,ce_vetoed_kl_approved,actual_vs_full,-6.708119893375276e-05,"[-0.0011743213354344626, 0.0010206077986562002]",0.905009499050095,-6.707894904043636e-05
llama8b,c4,veto,ce_vetoed_kl_approved,actual_vs_random,-0.00022505362321232763,"[-0.0014550817959470808, 0.0010071390352257184]",0.7123287671232876,-0.0002250283005453554
llama8b,c4,interaction,attention_mlp,actual_residual,0.0010942172922342463,"[-0.0003562828057744229, 0.0026978193150028764]",0.16178382161783822,0.0010948161663884579
llama8b,c4,interaction,attention_mlp,matched_random_residual,0.0018476386501560889,"[0.00011874774614932018, 0.0037857464429560455]",0.0481951804819518,0.0018493465861677484
llama8b,c4,interaction,attention_mlp,actual_minus_matched_random,-0.0007534213579218427,"[-0.002774470820586714, 0.0011461838520768568]",0.44145585441455854,-0.0007531376073162857
qwen4b,wiki,ranking,strongest,group_only_vs_baseline,-0.10528884912486512,"[-0.11245213139139805, -0.09879636459089543]",9.999000099990002e-05,-0.09993549780903835
qwen4b,wiki,ranking,strongest,full_context_marginal,-0.08163578262349254,"[-0.08726262615456762, -0.07634711824685021]",9.999000099990002e-05,-0.07839243693504368
qwen4b,wiki,ranking,weakest,group_only_vs_baseline,-0.015574737527964566,"[-0.018818873457992245, -0.01218476562807836]",9.999000099990002e-05,-0.015454078526362193
qwen4b,wiki,ranking,weakest,full_context_marginal,-0.008471062806129689,"[-0.011065994326029513, -0.005847773798117281]",9.999000099990002e-05,-0.008435284451769415
qwen4b,wiki,ranking,random,group_only_vs_baseline,-0.029406403103998037,"[-0.033701868205914885, -0.0248437305972264]",9.999000099990002e-05,-0.02897824198943216
qwen4b,wiki,ranking,random,full_context_marginal,-0.014406280954470078,"[-0.017412589063967625, -0.011381694306464435]",9.999000099990002e-05,-0.01430300701493436
qwen4b,wiki,veto,kl_vetoed_ce_approved,actual_vs_full,-0.09106859067441725,"[-0.09568541849788165, -0.08659074193596784]",9.999000099990002e-05,-0.08704491145360041
qwen4b,wiki,veto,kl_vetoed_ce_approved,actual_vs_random,-0.06688971377006156,"[-0.07045996099187157, -0.06364758182095245]",9.999000099990002e-05,-0.06470165382258823
qwen4b,wiki,veto,ce_vetoed_kl_approved,actual_vs_full,0.00536844642491099,"[0.0024469488592332206, 0.00821120785931023]",0.0008999100089991,0.005382882354697124
qwen4b,wiki,veto,ce_vetoed_kl_approved,actual_vs_random,0.0033029253744215827,"[0.0008383651595286747, 0.00566845116089572]",0.0082991700829917,0.0033083860428410297
qwen4b,wiki,interaction,attention_mlp,actual_residual,0.021983318872124506,"[0.017619917266648095, 0.026353688253444273]",9.999000099990002e-05,0.022226732433373555
qwen4b,wiki,interaction,attention_mlp,matched_random_residual,-0.0010690874060304571,"[-0.005814625468034331, 0.0035877478617968965]",0.6514348565143485,-0.0010685161356870363
qwen4b,wiki,interaction,attention_mlp,actual_minus_matched_random,0.023052406278154962,"[0.018071363102824305, 0.02770100628506195]",9.999000099990002e-05,0.023320166543299013
qwen4b,c4,ranking,strongest,group_only_vs_baseline,-0.05137781797837019,"[-0.05384625552525015, -0.0489640761583263]",9.999000099990002e-05,-0.050080294017861515
qwen4b,c4,ranking,strongest,full_context_marginal,-0.03961387463552737,"[-0.04161945795799917, -0.03762607332547003]",9.999000099990002e-05,-0.03883950404269077
qwen4b,c4,ranking,weakest,group_only_vs_baseline,-0.007777845340036399,"[-0.009251401843687987, -0.006339486520858875]",9.999000099990002e-05,-0.007747676168689598
qwen4b,c4,ranking,weakest,full_context_marginal,-0.004145979618067294,"[-0.00528791575577289, -0.0030210667858188243]",9.999000099990002e-05,-0.004137396909911846
qwen4b,c4,ranking,random,group_only_vs_baseline,-0.012642722424097145,"[-0.014292839252377273, -0.011034512184002797]",9.999000099990002e-05,-0.012563138945941093
qwen4b,c4,ranking,random,full_context_marginal,-0.008491549275833695,"[-0.009724482335218216, -0.007244995293222724]",9.999000099990002e-05,-0.008455597904197882
qwen4b,c4,veto,kl_vetoed_ce_approved,actual_vs_full,-0.055227258302386284,"[-0.058108595422607906, -0.05239783824762162]",9.999000099990002e-05,-0.05372992421508027
qwen4b,c4,veto,kl_vetoed_ce_approved,actual_vs_random,-0.04230680104475347,"[-0.044729055388147934, -0.03988859923671214]",9.999000099990002e-05,-0.04142435655488144
qwen4b,c4,veto,ce_vetoed_kl_approved,actual_vs_full,0.009845949547556602,"[0.008402578741206273, 0.011275726873831403]",9.999000099990002e-05,0.009894580383346733
qwen4b,c4,veto,ce_vetoed_kl_approved,actual_vs_random,0.006978560633340764,"[0.005550808008299316, 0.008403301096479535]",9.999000099990002e-05,0.00700296752956643
qwen4b,c4,interaction,attention_mlp,actual_residual,0.008389117159020736,"[0.0064336573495833264, 0.010421011876129517]",9.999000099990002e-05,0.00842440440964539
qwen4b,c4,interaction,attention_mlp,matched_random_residual,-0.00100477354375215,"[-0.0029595218854794824, 0.0009939434238256028]",0.3301669833016698,-0.0010042689278374284
qwen4b,c4,interaction,attention_mlp,actual_minus_matched_random,0.009393890702772885,"[0.006916669254767091, 0.011832963636877507]",9.999000099990002e-05,0.009438151780051739
mistral7b,wiki,ranking,strongest,group_only_vs_baseline,-0.0028380286620747577,"[-0.003715236927980105, -0.0019523924440481304]",9.999000099990002e-05,-0.00283400526580269
mistral7b,wiki,ranking,strongest,full_context_marginal,-0.0019808185339380965,"[-0.0026953083117756665, -0.0012377436612675424]",9.999000099990002e-05,-0.001978858007601851
mistral7b,wiki,ranking,weakest,group_only_vs_baseline,-0.00016301665694555399,"[-0.0009497513572334012, 0.0006227955581119507]",0.6854314568543146,-0.00016300337045231617
mistral7b,wiki,ranking,weakest,full_context_marginal,0.00015153231574663255,"[-0.0006091594995235497, 0.0008792141610806097]",0.6871312868713129,0.00015154379734792753
mistral7b,wiki,veto,kl_vetoed_ce_approved,actual_vs_full,0.00017941021083164245,"[-0.0006143129077748453, 0.0009099245756889811]",0.6453354664533547,0.00017942630580603764
mistral7b,wiki,veto,kl_vetoed_ce_approved,actual_vs_random,0.00017957280546770685,"[-0.0005877848242136913, 0.0009119988829126058]",0.637036296370363,0.00017958892962907782
mistral7b,wiki,interaction,attention_mlp,actual_residual,0.0010071213714826109,"[-0.00012260027378067947, 0.002093609228656677]",0.07479252074792521,0.001007628688506704
mistral7b,wiki,interaction,attention_mlp,matched_random_residual,7.963308628168223e-05,"[-0.0014079748055161449, 0.0014280742920966332]",0.916108389161084,7.963625708006386e-05
mistral7b,wiki,interaction,attention_mlp,actual_minus_matched_random,0.0009274882852009287,"[-0.0006178222235789702, 0.002435873294149034]",0.23417658234176583,0.0009279185354676002
mistral7b,c4,ranking,strongest,group_only_vs_baseline,-0.0016874806288619097,"[-0.0023534426437252878, -0.0010181917496907855]",9.999000099990002e-05,-0.0016860576339635055
mistral7b,c4,ranking,strongest,full_context_marginal,-0.0014975080543835997,"[-0.002273619636976417, -0.000720838141584204]",0.00029997000299970003,-0.0014963873486888671
mistral7b,c4,ranking,weakest,group_only_vs_baseline,-0.0005637646819343791,"[-0.0011402698781831037, 2.8042923243056133e-05]",0.061193880611938804,-0.000563605796485485
mistral7b,c4,ranking,weakest,full_context_marginal,-0.00024351155287453619,"[-0.0009094026927146901, 0.0004068832532033243]",0.46515348465153483,-0.00024348190634281765
mistral7b,c4,veto,kl_vetoed_ce_approved,actual_vs_full,-0.0002351856608907718,"[-0.0010074652864691205, 0.0006295198782089029]",0.5714428557144285,-0.0002351580069112098
mistral7b,c4,veto,kl_vetoed_ce_approved,actual_vs_random,3.136803057057823e-05,"[-0.0006037047297904808, 0.0006938439709674117]",0.9254074592540746,3.136852255239332e-05
mistral7b,c4,interaction,attention_mlp,actual_residual,0.00043029730047945745,"[-0.0005230841861822687, 0.0014015782187373155]",0.38406159384061594,0.0004303898916429571
mistral7b,c4,interaction,attention_mlp,matched_random_residual,0.000620726394973631,"[-0.000330795002510783, 0.0015837876425315528]",0.20117988201179882,0.0006209190854696361
mistral7b,c4,interaction,attention_mlp,actual_minus_matched_random,-0.0001904290944941736,"[-0.0014825314615544425, 0.0011138342573648067]",0.777022297770223,-0.0001904109640250332
